"season","jumperNumber","teamName","firstName","lastName","scoreInvolvements","gamesPlayed"
2015,1,"Brisbane Lions","Luke","McGuane",22.4835095328454,4
2015,1,"Carlton","Andrew","Walker",19.2074537854939,12
2015,1,"Collingwood","Alex","Fasolo",24.3100841002991,17
2015,1,"Essendon","Michael","Hibberd",16.65716102915,21
2015,1,"Fremantle","Hayden","Ballantyne",21.7869748995811,15
2015,1,"GWS GIANTS","Phil","Davis",10.8265841780335,12
2015,1,"Geelong Cats","Rhys","Stanley",17.6136363636364,8
2015,1,"Melbourne","Jesse","Hogan",30.9451738478912,20
2015,1,"Port Adelaide","Travis","Boak",26.9815269216578,22
2015,1,"Richmond","Chris","Newman",17.8185107376284,17
2015,1,"St Kilda","Tom","Hickey",21.3234909848182,11
2015,1,"Sydney Swans","James","Rose",10.7007575757576,2
2015,1,"West Coast Eagles","Mitchell","Brown",0,1
2015,1,"Western Bulldogs","Jarrad","Grant",17.2776739373505,19
2015,2,"Brisbane Lions","Ryan","Harwood",10.3540100250627,3
2015,2,"Carlton","Troy","Menzel",14.9609551482496,14
2015,2,"Collingwood","Sam","Dwyer",16.7681704260652,5
2015,2,"Essendon","Tom","Bellchambers",15.8752224801361,10
2015,2,"GWS GIANTS","Curtly","Hampton",11.2134502923977,5
2015,2,"Geelong Cats","Billie","Smedts",12.8869047619048,4
2015,2,"Gold Coast SUNS","Zac","Smith",14.1106186674394,11
2015,2,"Hawthorn","Jarryd","Roughead",31.1323246740506,24
2015,2,"Melbourne","Nathan","Jones",25.9363827871733,22
2015,2,"North Melbourne","Brad","McKenzie",17.6470588235294,1
2015,2,"Port Adelaide","Kane","Mitchell",17.0836952026468,8
2015,2,"Richmond","Dylan","Grimes",9.38367805034472,18
2015,2,"Sydney Swans","Rhyce","Shaw",17.1722017314949,24
2015,2,"West Coast Eagles","Mark","LeCras",27.4712611463822,24
2015,2,"Western Bulldogs","Robert","Murphy",19.0031326240682,21
2015,3,"Brisbane Lions","Allen","Christensen",32.6251636576339,22
2015,3,"Carlton","Marc","Murphy",27.6531643234879,19
2015,3,"Essendon","Paul","Chapman",22.2405887777987,9
2015,3,"Fremantle","Zac","Dawson",5.75873827791986,5
2015,3,"GWS GIANTS","Stephen","Coniglio",19.9665604576691,18
2015,3,"Geelong Cats","Jimmy","Bartel",20.7612102692317,11
2015,3,"Hawthorn","Jordan","Lewis",23.5454525775517,23
2015,3,"Melbourne","Christian","Salem",13.7264492753623,10
2015,3,"North Melbourne","Ryan","Bastinac",17.8608714262081,17
2015,3,"Port Adelaide","Jake","Neade",15.3372254057775,10
2015,3,"Richmond","Brett","Deledio",33.435716289883,18
2015,3,"St Kilda","Jack","Steven",27.2231757449149,22
2015,3,"Sydney Swans","Jarrad","McVeigh",27.2187405266425,22
2015,3,"West Coast Eagles","Andrew","Gaff",23.760717572873,25
2015,3,"Western Bulldogs","Mitch","Wallis",25.8259051536462,20
2015,4,"Adelaide Crows","Josh","Jenkins",21.7946992103462,21
