"season","firstName","lastName","teamName","position"
2015,"Aaron","Black","North Melbourne",2
2015,"Aaron","Hall","Gold Coast",1
2015,"Aaron","Mullett","North Melbourne",5
2015,"Aaron","Sandilands","Fremantle",3
2015,"Aaron","Vandenberg","Melbourne",6
2015,"Aaron","Young","Port Adelaide",6
2015,"Adam","Cooney","Essendon",1
2015,"Adam","Goodes","Sydney",1
2015,"Adam","Kennedy","GWS",5
2015,"Adam","Oxley","Collingwood",5
2015,"Adam","Saad","Gold Coast",5
2015,"Adam","Schneider","St Kilda",6
2015,"Adam","Tomlinson","GWS",5
2015,"Adam","Treloar","GWS",6
2015,"Ahmed","Saad","St Kilda",2
2015,"Aidan","Corr","GWS",4
2015,"Aidan","Riley","Melbourne",1
2015,"Alan","Toovey","Collingwood",4
2015,"Alex","Browne","Essendon",1
2015,"Alex","Fasolo","Collingwood",7
2015,"Alex","Neal-Bullen","Melbourne",2
2015,"Alex","Pearce","Fremantle",4
2015,"Alex","Rance","Richmond",4
2015,"Alex","Sexton","Gold Coast",2
2015,"Alex","Silvagni","Fremantle",4
2015,"Alipate","Carlile","Port Adelaide",4
2015,"Allen","Christensen","Brisbane Lions",2
2015,"Andrejs","Everitt","Carlton",7
2015,"Andrew","Boston","Gold Coast",2
2015,"Andrew","Carrazzo","Carlton",6
2015,"Andrew","Gaff","West Coast",1
2015,"Andrew","Mackie","Geelong",5
2015,"Andrew","Moore","Port Adelaide",2
2015,"Andrew","Phillips","GWS",3
2015,"Andrew","Raines","Gold Coast",2
2015,"Andrew","Swallow","North Melbourne",6
2015,"Andrew","Walker","Carlton",1
2015,"Angus","Brayshaw","Melbourne",6
2015,"Angus","Monfries","Port Adelaide",2
2015,"Anthony","Miles","Richmond",6
2015,"Ariel","Steinberg","Essendon",4
2015,"Ayce","Cordy","Western Bulldogs",3
2015,"Bachar","Houli","Richmond",5
2015,"Bailey","Dale","Western Bulldogs",2
2015,"Ben","Brown","North Melbourne",7
2015,"Ben","Cunnington","North Melbourne",6
2015,"Ben","Griffiths","Richmond",7
2015,"Ben","Howlett","Essendon",6
2015,"Ben","Jacobs","North Melbourne",1
2015,"Ben","Kennedy","Collingwood",2
2015,"Ben","Lennon","Richmond",7
2015,"Ben","McEvoy","Hawthorn",3
2015,"Ben","McGlynn","Sydney",2
2015,"Ben","Newton","Melbourne",2
